,ACC,trial_id,Learning Method,Training Size,partition_random_state,currerent_fold,data_percentage
146,85.70242309570312,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
147,85.34403991699219,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
148,84.9244613647461,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
149,84.08531188964844,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
150,84.82394409179688,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
151,85.09783172607422,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
152,84.73070526123047,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
153,84.69136810302734,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
154,85.00313568115234,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
155,84.73798370361328,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
156,84.19166564941406,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
157,85.36734771728516,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
158,85.27702331542969,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
159,84.49614715576172,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
160,84.94923400878906,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
161,85.18524169921875,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
162,84.14359283447266,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
163,84.18292236328125,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
164,85.00313568115234,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
165,85.1925277709961,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
166,83.48072052001953,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
167,84.6797103881836,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
168,85.01478576660156,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
169,85.5348892211914,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
170,85.06432342529297,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
171,85.02790069580078,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
172,84.05908966064453,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
173,84.48303985595703,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
174,85.33821105957031,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
175,85.55382537841797,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
176,85.09054565429688,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
177,85.52468872070312,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
178,84.65931701660156,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
